Area	Price
800	42000000
1200	63000000
1500	84000000
2000	108000000
1000	54000000
1600	87000000
1100	58000000
1800	96000000
900	47000000
1400	75000000
1350	72000000
1450	78000000
1600	85000000
1250	67000000
1150	62000000
1700	90000000
1100	60000000
1050	57000000
1300	70000000
1750	94000000
1450	77000000
1700	88000000
1900	100000000
1600	85000000
1150	61000000
1250	66000000
1400	75000000
1550	83000000
1000	53000000
1500	80000000
1700	88000000
1200	64000000
1250	67000000
1450	78000000
1350	72000000
1550	83000000
1400	74000000
1500	80000000
1100	59000000
1750	93000000
1300	69000000
1650	86000000
1900	101000000
1600	85000000
1450	76000000
1250	66000000
1000	54000000
1500	80000000
1700	89000000
1800	95000000
1150	60000000
1900	101000000
1000	53000000
1600	85000000
1300	69000000
1500	81000000
1450	77000000
1700	89000000
1100	59000000
1750	94000000
1200	63000000
1400	74000000
1800	96000000
1500	80000000
1250	67000000
1600	85000000
1100	59000000
1350	71000000
1450	77000000
1250	67000000
1400	74000000
1600	85000000
1800	95000000
1700	88000000
1900	99000000
1000	54000000
1500	80000000
1300	69000000
1150	60000000
1750	94000000
1650	86000000
1400	74000000
1600	85000000
1900	99000000
1200	63000000
1350	71000000
1250	67000000
1700	88000000
1600	85000000
1500	79000000
1250	67000000
1400	74000000
1800	95000000
1100	59000000
1550	83000000
1300	69000000
1750	93000000
1500	80000000
1400	74000000
1600	85000000
1000	54000000
