Area	Price
800	40000000
1200	60000000
1500	80000000
2000	104000000
1000	52000000
1600	84000000
1100	56000000
1800	92000000
900	44000000
1400	72000000
1350	70000000
1450	76000000
1600	82000000
1250	66000000
1150	62000000
1700	88000000
1100	58000000
1050	55000000
1300	68000000
1750	92000000
1450	76000000
1700	86000000
1900	96000000
1600	82000000
1150	61600000
1250	65000000
1400	72000000
1550	83200000
1000	51200000
1500	80400000
1700	87200000
1200	60000000
1250	67200000
1450	77600000
1350	70400000
1550	81200000
1400	71200000
1500	80000000
1100	57600000
1750	90400000
1300	69600000
1650	82400000
1900	96800000
1600	81600000
1450	75200000
1250	64000000
1000	52800000
1500	78400000
1700	86400000
1800	90400000
1150	59200000
1900	97600000
1000	53600000
1600	82000000
1300	69600000
1500	84000000
1450	76800000
1700	86800000
1100	58400000
1750	89600000
1200	60800000
1400	72000000
1800	92000000
1500	79200000
1250	64800000
1600	82400000
1100	58400000
1350	71200000
1450	75200000
1250	64800000
1400	72000000
1600	81600000
1800	91200000
1700	85600000
1900	94400000
1000	53600000
1500	78000000
1300	69600000
1150	60000000
1750	90400000
1650	84000000
1400	71200000
1600	81600000
1900	94400000
1200	60800000
1350	70400000
1250	64800000
1700	87200000
1600	81600000
1500	79600000
1250	64800000
1400	73600000
1800	91200000
1100	58400000
1550	81600000
1300	68800000
1750	88000000
1500	78400000
1400	72800000
1600	81600000
1000	52800000
